DATE,TIME PERIOD,Euro short-term rate - Volume-weighted trimmed mean rate (EST.B.EU000A2X2A25.WT)
8/17/2021,17-Aug-21,-0.568
8/18/2021,18-Aug-21,-0.567
8/19/2021,19-Aug-21,-0.567
8/20/2021,20-Aug-21,-0.567
8/23/2021,23-Aug-21,-0.568
8/24/2021,24-Aug-21,-0.567
8/25/2021,25-Aug-21,-0.564
8/26/2021,26-Aug-21,-0.57
8/27/2021,27-Aug-21,-0.57
8/30/2021,30-Aug-21,-0.568
8/31/2021,31-Aug-21,-0.57
9/1/2021,1-Sep-21,-0.569
9/2/2021,2-Sep-21,-0.569
9/3/2021,3-Sep-21,-0.568
9/6/2021,6-Sep-21,-0.569
9/7/2021,7-Sep-21,-0.569
9/8/2021,8-Sep-21,-0.569
9/9/2021,9-Sep-21,-0.57
9/10/2021,10-Sep-21,-0.57
9/13/2021,13-Sep-21,-0.571
9/14/2021,14-Sep-21,-0.568
9/15/2021,15-Sep-21,-0.573
9/16/2021,16-Sep-21,-0.567
9/17/2021,17-Sep-21,-0.571
9/20/2021,20-Sep-21,-0.566
9/21/2021,21-Sep-21,-0.571
9/22/2021,22-Sep-21,-0.566
9/23/2021,23-Sep-21,-0.57
9/24/2021,24-Sep-21,-0.569
9/27/2021,27-Sep-21,-0.571
9/28/2021,28-Sep-21,-0.573
9/29/2021,29-Sep-21,-0.572
9/30/2021,30-Sep-21,-0.58
10/1/2021,1-Oct-21,-0.571
10/4/2021,4-Oct-21,-0.569
10/5/2021,5-Oct-21,-0.569
10/6/2021,6-Oct-21,-0.569
10/7/2021,7-Oct-21,-0.568
10/8/2021,8-Oct-21,-0.568
10/11/2021,11-Oct-21,-0.57
10/12/2021,12-Oct-21,-0.562
10/13/2021,13-Oct-21,-0.569
10/14/2021,14-Oct-21,-0.57
10/15/2021,15-Oct-21,-0.572
10/18/2021,18-Oct-21,-0.574
10/19/2021,19-Oct-21,-0.573
10/20/2021,20-Oct-21,-0.571
10/21/2021,21-Oct-21,-0.573
10/22/2021,22-Oct-21,-0.569
10/25/2021,25-Oct-21,-0.571
10/26/2021,26-Oct-21,-0.57
10/27/2021,27-Oct-21,-0.573
10/28/2021,28-Oct-21,-0.573
10/29/2021,29-Oct-21,-0.578
11/1/2021,1-Nov-21,-0.579
11/2/2021,2-Nov-21,-0.569
11/3/2021,3-Nov-21,-0.574
11/4/2021,4-Nov-21,-0.573
11/5/2021,5-Nov-21,-0.572
11/8/2021,8-Nov-21,-0.575
11/9/2021,9-Nov-21,-0.575
11/10/2021,10-Nov-21,-0.576
11/11/2021,11-Nov-21,-0.575
11/12/2021,12-Nov-21,-0.572
11/15/2021,15-Nov-21,-0.569
11/16/2021,16-Nov-21,-0.571
11/17/2021,17-Nov-21,-0.571
11/18/2021,18-Nov-21,-0.571
11/19/2021,19-Nov-21,-0.573
11/22/2021,22-Nov-21,-0.573
11/23/2021,23-Nov-21,-0.574
11/24/2021,24-Nov-21,-0.57
11/25/2021,25-Nov-21,-0.573
11/26/2021,26-Nov-21,-0.573
11/29/2021,29-Nov-21,-0.573
11/30/2021,30-Nov-21,-0.575
12/1/2021,1-Dec-21,-0.574
12/2/2021,2-Dec-21,-0.575
12/3/2021,3-Dec-21,-0.578
12/6/2021,6-Dec-21,-0.578
12/7/2021,7-Dec-21,-0.577
12/8/2021,8-Dec-21,-0.577
12/9/2021,9-Dec-21,-0.578
12/10/2021,10-Dec-21,-0.577
12/13/2021,13-Dec-21,-0.579
12/14/2021,14-Dec-21,-0.577
12/15/2021,15-Dec-21,-0.577
12/16/2021,16-Dec-21,-0.577
12/17/2021,17-Dec-21,-0.576
12/20/2021,20-Dec-21,-0.576
12/21/2021,21-Dec-21,-0.571
12/22/2021,22-Dec-21,-0.574
12/23/2021,23-Dec-21,-0.576
12/24/2021,24-Dec-21,-0.58
12/27/2021,27-Dec-21,-0.576
12/28/2021,28-Dec-21,-0.575
12/29/2021,29-Dec-21,-0.578
12/30/2021,30-Dec-21,-0.58
12/31/2021,31-Dec-21,-0.59
1/3/2022,3-Jan-22,-0.578
1/4/2022,4-Jan-22,-0.578
1/5/2022,5-Jan-22,-0.578
1/6/2022,6-Jan-22,-0.578
1/7/2022,7-Jan-22,-0.58
1/10/2022,10-Jan-22,-0.579
1/11/2022,11-Jan-22,-0.579
1/12/2022,12-Jan-22,-0.578
1/13/2022,13-Jan-22,-0.578
1/14/2022,14-Jan-22,-0.578
1/17/2022,17-Jan-22,-0.578
1/18/2022,18-Jan-22,-0.579
1/19/2022,19-Jan-22,-0.578
1/20/2022,20-Jan-22,-0.579
1/21/2022,21-Jan-22,-0.579
1/24/2022,24-Jan-22,-0.579
1/25/2022,25-Jan-22,-0.578
1/26/2022,26-Jan-22,-0.576
1/27/2022,27-Jan-22,-0.573
1/28/2022,28-Jan-22,-0.573
1/31/2022,31-Jan-22,-0.579
2/1/2022,1-Feb-22,-0.578
2/2/2022,2-Feb-22,-0.578
2/3/2022,3-Feb-22,-0.577
2/4/2022,4-Feb-22,-0.578
2/7/2022,7-Feb-22,-0.578
2/8/2022,8-Feb-22,-0.574
2/9/2022,9-Feb-22,-0.578
2/10/2022,10-Feb-22,-0.572
2/11/2022,11-Feb-22,-0.578
2/14/2022,14-Feb-22,-0.578
2/15/2022,15-Feb-22,-0.576
2/16/2022,16-Feb-22,-0.576
2/17/2022,17-Feb-22,-0.576
2/18/2022,18-Feb-22,-0.576
2/21/2022,21-Feb-22,-0.576
2/22/2022,22-Feb-22,-0.575
2/23/2022,23-Feb-22,-0.576
2/24/2022,24-Feb-22,-0.576
2/25/2022,25-Feb-22,-0.575
2/28/2022,28-Feb-22,-0.58
3/1/2022,1-Mar-22,-0.577
3/2/2022,2-Mar-22,-0.578
3/3/2022,3-Mar-22,-0.579
3/4/2022,4-Mar-22,-0.577
3/7/2022,7-Mar-22,-0.579
3/8/2022,8-Mar-22,-0.579
3/9/2022,9-Mar-22,-0.58
3/10/2022,10-Mar-22,-0.576
3/11/2022,11-Mar-22,-0.577
3/14/2022,14-Mar-22,-0.577
3/15/2022,15-Mar-22,-0.573
3/16/2022,16-Mar-22,-0.577
3/17/2022,17-Mar-22,-0.578
3/18/2022,18-Mar-22,-0.578
3/21/2022,21-Mar-22,-0.578
3/22/2022,22-Mar-22,-0.578
3/23/2022,23-Mar-22,-0.578
3/24/2022,24-Mar-22,-0.579
3/25/2022,25-Mar-22,-0.581
3/28/2022,28-Mar-22,-0.58
3/29/2022,29-Mar-22,-0.579
3/30/2022,30-Mar-22,-0.579
3/31/2022,31-Mar-22,-0.593
4/1/2022,1-Apr-22,-0.582
4/4/2022,4-Apr-22,-0.585
4/5/2022,5-Apr-22,-0.586
4/6/2022,6-Apr-22,-0.584
4/7/2022,7-Apr-22,-0.582
4/8/2022,8-Apr-22,-0.583
4/11/2022,11-Apr-22,-0.584
4/12/2022,12-Apr-22,-0.583
4/13/2022,13-Apr-22,-0.585
4/14/2022,14-Apr-22,-0.586
4/19/2022,19-Apr-22,-0.58
4/20/2022,20-Apr-22,-0.583
4/21/2022,21-Apr-22,-0.585
4/22/2022,22-Apr-22,-0.583
4/25/2022,25-Apr-22,-0.585
4/26/2022,26-Apr-22,-0.582
4/27/2022,27-Apr-22,-0.583
4/28/2022,28-Apr-22,-0.583
4/29/2022,29-Apr-22,-0.586
5/2/2022,2-May-22,-0.583
5/3/2022,3-May-22,-0.579
5/4/2022,4-May-22,-0.585
5/5/2022,5-May-22,-0.585
5/6/2022,6-May-22,-0.585
5/9/2022,9-May-22,-0.586
5/10/2022,10-May-22,-0.584
5/11/2022,11-May-22,-0.584
5/12/2022,12-May-22,-0.577
5/13/2022,13-May-22,-0.586
5/16/2022,16-May-22,-0.585
5/17/2022,17-May-22,-0.585
5/18/2022,18-May-22,-0.585
5/19/2022,19-May-22,-0.585
5/20/2022,20-May-22,-0.585
5/23/2022,23-May-22,-0.586
5/24/2022,24-May-22,-0.587
5/25/2022,25-May-22,-0.587
5/26/2022,26-May-22,-0.59
5/27/2022,27-May-22,-0.585
5/30/2022,30-May-22,-0.586
5/31/2022,31-May-22,-0.589
6/1/2022,1-Jun-22,-0.582
6/2/2022,2-Jun-22,-0.585
6/3/2022,3-Jun-22,-0.587
6/6/2022,6-Jun-22,-0.59
6/7/2022,7-Jun-22,-0.583
6/8/2022,8-Jun-22,-0.582
6/9/2022,9-Jun-22,-0.582
6/10/2022,10-Jun-22,-0.581
