Call											Put																				
Last traded	Open	High	Low	D. Settle	OI adj	Volume	Last	Bid	Ask	Strike	Bid	Ask	Last	Volume	OI adj	D. Settle	Open	High	Low	Last traded											
12:15 20/11	304	304	304	304	-	-	304	-	-	"5,700.00"	-	-	"1,159.10"	-	-	"1,159.10"	"1,159.10"	"1,159.10"	"1,159.10"	12:15 20/11											
12:15 20/11	280.6	280.6	280.6	280.6	-	-	280.6	-	-	"5,800.00"	-	-	"1,224.40"	-	-	"1,224.40"	"1,224.40"	"1,224.40"	"1,224.40"	12:15 20/11											
12:15 20/11	259	259	259	259	-	-	259	-	-	"5,900.00"	-	-	"1,291.60"	-	-	"1,291.60"	"1,291.60"	"1,291.60"	"1,291.60"	12:15 20/11											
12:15 20/11	239.1	239.1	239.1	239.1	"4,001"	-	239.1	-	-	"6,000.00"	-	-	"1,360.30"	-	"4,001"	"1,360.30"	"1,360.30"	"1,360.30"	"1,360.30"	12:15 20/11											
12:15 20/11	220.7	220.7	220.7	220.7	-	-	220.7	-	-	"6,100.00"	-	-	"1,430.70"	-	-	"1,430.70"	"1,430.70"	"1,430.70"	"1,430.70"	12:15 20/11											
12:15 20/11	203.8	203.8	203.8	203.8	-	-	203.8	-	-	"6,200.00"	-	-	"1,502.40"	-	-	"1,502.40"	"1,502.40"	"1,502.40"	"1,502.40"	12:15 20/11											
12:15 20/11	173.8	173.8	173.8	173.8	-	-	173.8	-	-	"6,400.00"	-	-	"1,649.80"	-	-	"1,649.80"	"1,649.80"	"1,649.80"	"1,649.80"	12:15 20/11											
12:15 20/11	148.3	148.3	148.3	148.3	-	-	148.3	-	-	"6,600.00"	-	-	"1,801.80"	-	-	"1,801.80"	"1,801.80"	"1,801.80"	"1,801.80"	12:15 20/11											
12:15 20/11	126.7	126.7	126.7	126.7	-	-	126.7	-	-	"6,800.00"	-	-	"1,957.60"	-	-	"1,957.60"	"1,957.60"	"1,957.60"	"1,957.60"	12:15 20/11											
12:15 20/11	108.3	108.3	108.3	108.3	-	-	108.3	-	-	"7,000.00"	-	-	"2,116.70"	-	-	"2,116.70"	"2,116.70"	"2,116.70"	"2,116.70"	12:15 20/11											
12:15 20/11	92.7	92.7	92.7	92.7	-	-	92.7	-	-	"7,200.00"	-	-	"2,278.50"	-	-	"2,278.50"	"2,278.50"	"2,278.50"	"2,278.50"	12:15 20/11											
12:15 20/11	79.6	79.6	79.6	79.6	-	-	79.6	-	-	"7,400.00"	-	-	"2,442.70"	-	-	"2,442.70"	"2,442.70"	"2,442.70"	"2,442.70"	12:15 20/11											
12:15 20/11	68.3	68.3	68.3	68.3	-	-	68.3	-	-	"7,600.00"	-	-	"2,608.90"	-	-	"2,608.90"	"2,608.90"	"2,608.90"	"2,608.90"	12:15 20/11											
12:15 20/11	58.8	58.8	58.8	58.8	-	-	58.8	-	-	"7,800.00"	-	-	"2,776.80"	-	-	"2,776.80"	"2,776.80"	"2,776.80"	"2,776.80"	12:15 20/11											
12:15 20/11	50.7	50.7	50.7	50.7	"3,000"	-	50.7	-	-	"8,000.00"	-	-	"2,946.10"	-	-	"2,946.10"	"2,946.10"	"2,946.10"	"2,946.10"	12:15 20/11											
12:15 20/11	12.4	12.4	12.4	12.4	-	-	12.4	5	-	"10,000.00"	-	-	"4,681.90"	-	-	"4,681.90"	"4,681.90"	"4,681.90"	"4,681.90"	12:15 20/11											
12:15 20/11	3.6	3.6	3.6	3.6	-	-	3.6	-	-	"12,000.00"	-	-	"6,447.30"	-	-	"6,447.30"	"6,447.30"	"6,447.30"	"6,447.30"	12:15 20/11											
